Course,"AE 321"
Lab Section Number,"10"
Test Group,"B"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,10/8/2015 10:54 AM
End Date,10/8/2015 10:56 AM
Material,"7075 Aluminum"
Heat treatment,""
Other information,""
Geometry,Circular
Diameter,6.97,mm
Area,38.1553,mm^2
Hardness,0.0
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.50,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,22840,N
Tensile strain at Maximum Load,0.07789,mm/mm
Tensile strain at Maximum Strain 1,0.09501,mm/mm
Load at Maximum Strain 1,22370,N
Fracture Type and Location,""
Final Diameter,6.20,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
0.00,0.00,-43.43,-0.00001
0.00,0.00,-43.50,-0.00001
0.50,0.03,524.7,0.0001781
1.00,0.07,1152,0.0003953
1.50,0.10,1685,0.0005751
2.00,0.13,2147,0.0007509
2.50,0.17,2562,0.0008751
3.00,0.20,2936,0.001007
3.50,0.23,3270,0.001105
4.00,0.27,3575,0.001230
4.50,0.30,3838,0.001337
5.00,0.33,4080,0.001427
5.50,0.37,4323,0.001501
6.00,0.40,4561,0.001588
6.50,0.43,4802,0.001666
7.00,0.47,5037,0.001753
7.50,0.50,5281,0.001838
8.00,0.53,5535,0.001939
8.50,0.57,5789,0.002025
9.00,0.60,6046,0.002124
9.50,0.63,6305,0.002225
10.00,0.67,6565,0.002297
10.50,0.70,6821,0.002379
11.00,0.73,7056,0.002465
11.50,0.77,7287,0.002548
12.00,0.80,7518,0.002628
12.50,0.83,7753,0.002712
13.00,0.87,7979,0.002793
13.50,0.90,8207,0.002875
14.00,0.93,8434,0.002949
14.50,0.97,8658,0.003049
15.00,1.00,8882,0.003118
15.50,1.03,9102,0.003196
16.00,1.07,9325,0.003265
16.50,1.10,9549,0.003356
17.00,1.13,9774,0.003421
17.50,1.17,10000,0.003522
18.00,1.20,10230,0.003626
18.50,1.23,10460,0.003684
19.00,1.27,10690,0.003762
19.50,1.30,10920,0.003846
20.00,1.33,11150,0.003925
20.50,1.37,11380,0.003994
