Course,"AE321"
Lab Section Number,"12"
Test Group,"C"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,10/8/2015 3:14 PM
End Date,10/8/2015 3:16 PM
Material,"1045CR"
Heat treatment,""
Other information,""
Geometry,Circular
Diameter,7.22,mm
Area,40.9415,mm^2
Hardness,0.0
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.50,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,40540,N
Tensile strain at Maximum Load,0.02261,mm/mm
Tensile strain at Maximum Strain 1,0.07374,mm/mm
Load at Maximum Strain 1,18830,N
Fracture Type and Location,"breaks at around 45 degrees"
Final Diameter,5.32,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
0.00,0.00,9.774,-0.00002
0.50,0.03,739.8,0.00004
1.00,0.07,1457,0.0001298
1.50,0.10,1917,0.0001728
2.00,0.13,2280,0.0002276
2.50,0.17,2582,0.0002587
3.00,0.20,2836,0.0002798
3.50,0.23,3065,0.0003134
4.00,0.27,3309,0.0003494
4.50,0.30,3556,0.0003877
5.00,0.33,3804,0.0004186
5.50,0.37,4056,0.0004484
6.00,0.40,4313,0.0004826
6.50,0.43,4569,0.0005017
7.00,0.47,4825,0.0005434
7.50,0.50,5082,0.0005783
8.00,0.53,5330,0.0006013
8.50,0.57,5567,0.0006377
9.00,0.60,5802,0.0006511
9.50,0.63,6031,0.0006908
10.00,0.67,6267,0.0007176
10.50,0.70,6506,0.0007565
11.00,0.73,6745,0.0007857
11.50,0.77,6991,0.0008222
12.00,0.80,7235,0.0008513
12.50,0.83,7482,0.0008909
13.00,0.87,7731,0.0009238
13.50,0.90,7984,0.0009586
14.00,0.93,8240,0.0009887
14.50,0.97,8497,0.001018
15.00,1.00,8751,0.001053
15.50,1.03,9011,0.001081
16.00,1.07,9275,0.001116
16.50,1.10,9536,0.001139
17.00,1.13,9800,0.001167
17.50,1.17,10070,0.001200
18.00,1.20,10330,0.001229
18.50,1.23,10600,0.001262
19.00,1.27,10870,0.001288
19.50,1.30,11130,0.001320
20.00,1.33,11400,0.001351
20.50,1.37,11670,0.001382
21.00,1.40,11940,0.001418
21.50,1.43,12210,0.001448
22.00,1.47,12480,0.001480
22.50,1.50,12750,0.001513
