Course,"ME 330"
Lab Section Number,"02"
Test Group,"A"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,9/18/2017 1:12 PM
End Date,9/18/2017 1:14 PM
Material,"6061"
Heat treatment,""
Other information,""
Geometry,Circular
Diameter,7.11,mm
Area,39.7035,mm^2
Hardness,42.8
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.72,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,11800,N
Tensile strain at Maximum Load,0.1063,mm/mm
Tensile strain at Maximum Strain 1,0.1410,mm/mm
Load at Maximum Strain 1,10970,N
Fracture Type and Location,"Cup Cone, shiny hear breaking point, ductile failure"
Final Diameter,5.10,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
0.00,0.00,29.21,0.00007
0.00,0.00,29.24,0.00006
0.50,0.03,559.3,0.0002446
1.00,0.07,1129,0.0004574
1.50,0.10,1606,0.0006132
2.00,0.13,2026,0.0007739
2.50,0.17,2392,0.0009096
3.00,0.20,2690,0.001014
3.50,0.23,2948,0.001114
4.00,0.27,3196,0.001199
4.50,0.30,3456,0.001305
5.00,0.33,3710,0.001383
5.50,0.37,3963,0.001484
6.00,0.40,4208,0.001575
6.50,0.43,4462,0.001657
7.00,0.47,4715,0.001774
7.50,0.50,4970,0.001855
8.00,0.53,5229,0.001923
8.50,0.57,5491,0.002037
9.00,0.60,5753,0.002122
9.50,0.63,6018,0.002222
10.00,0.67,6283,0.002326
10.50,0.70,6547,0.002408
11.00,0.73,6809,0.002519
11.50,0.77,7073,0.002613
12.00,0.80,7332,0.002711
12.50,0.83,7597,0.002814
13.00,0.87,7854,0.002911
13.50,0.90,8099,0.002999
14.00,0.93,8345,0.003097
14.50,0.97,8577,0.003190
15.00,1.00,8803,0.003289
15.50,1.03,9014,0.003394
16.00,1.07,9203,0.003515
16.50,1.10,9378,0.003680
17.00,1.13,9534,0.003921
17.50,1.17,9653,0.004243
18.00,1.20,9736,0.004665
18.50,1.23,9796,0.005216
19.00,1.27,9842,0.005804
19.50,1.30,9880,0.006463
20.00,1.33,9916,0.007144
20.50,1.37,9944,0.007857
21.00,1.40,9975,0.008581
21.50,1.43,10000,0.009333
22.00,1.47,10030,0.01006
22.50,1.50,10050,0.01079
23.00,1.53,10070,0.01153
23.50,1.57,10100,0.01226
24.00,1.60,10120,0.01298
24.50,1.63,10140,0.01372
25.00,1.67,10170,0.01446
25.50,1.70,10190,0.01516
26.00,1.73,10210,0.01588
26.50,1.77,10230,0.01660
27.00,1.80,10260,0.01732
27.50,1.83,10280,0.01804
28.00,1.87,10300,0.01874
28.50,1.90,10320,0.01947
29.00,1.93,10340,0.02018
29.50,1.97,10360,0.02089
30.00,2.00,10390,0.02160
30.50,2.03,10410,0.02231
31.00,2.07,10430,0.02301
31.50,2.10,10450,0.02371
32.00,2.13,10470,0.02441
32.50,2.17,10490,0.02511
33.00,2.20,10510,0.02582
33.50,2.23,10530,0.02653
34.00,2.27,10550,0.02722
34.50,2.30,10570,0.02790
35.00,2.33,10590,0.02861
35.50,2.37,10620,0.02930
36.00,2.40,10640,0.02999
36.50,2.43,10660,0.03070
37.00,2.47,10670,0.03138
37.50,2.50,10690,0.03206
38.00,2.53,10720,0.03277
38.50,2.57,10730,0.03345
39.00,2.60,10750,0.03414
39.50,2.63,10770,0.03484
40.00,2.67,10790,0.03554
40.50,2.70,10810,0.03624
41.00,2.73,10830,0.03692
41.50,2.77,10850,0.03761
42.00,2.80,10870,0.03831
42.50,2.83,10890,0.03900
43.00,2.87,10900,0.03969
43.50,2.90,10920,0.04039
44.00,2.93,10940,0.04108
44.50,2.97,10960,0.04177
45.00,3.00,10970,0.04246
45.50,3.03,10990,0.04316
46.00,3.07,11010,0.04383
46.50,3.10,11030,0.04453
47.00,3.13,11050,0.04523
47.50,3.17,11060,0.04591
48.00,3.20,11080,0.04662
48.50,3.23,11090,0.04732
